data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-02,True,Sumé,2516300,BORBOREMA,CARIRI OCIDENTAL,22,0
2020-06-02,True,Tacima,2516409,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,16,1
2020-06-02,True,Taperoá,2516508,BORBOREMA,CARIRI OCIDENTAL,35,1
2020-06-02,True,Tavares,2516607,SERTAO PARAIBANO,SERRA DO TEIXEIRA,6,0
2020-06-02,True,Teixeira,2516706,SERTAO PARAIBANO,SERRA DO TEIXEIRA,17,0
2020-06-02,True,Tenório,2516755,BORBOREMA,SERIDO ORIENTAL PARAIBANO,1,0
2020-06-02,True,Triunfo,2516805,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-02,True,Uiraúna,2516904,SERTAO PARAIBANO,CAJAZEIRAS,4,1
2020-06-02,True,Umbuzeiro,2517001,AGRESTE PARAIBANO,UMBUZEIRO,16,1
2020-06-02,True,Várzea,2517100,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,1,0
2020-06-02,True,Vieirópolis,2517209,SERTAO PARAIBANO,SOUSA,3,0
2020-06-02,True,Vista Serrana,2505501,SERTAO PARAIBANO,SOUSA,1,0
2020-06-02,True,Zabelê,2517407,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-01,False,Água Branca,2500106,SERTAO PARAIBANO,SERRA DO TEIXEIRA,2,0
2020-06-01,False,Aguiar,2500205,SERTAO PARAIBANO,PIANCO,1,0
2020-06-01,False,Alagoa Grande,2500304,AGRESTE PARAIBANO,BREJO PARAIBANO,76,1
2020-06-01,False,Alagoa Nova,2500403,AGRESTE PARAIBANO,BREJO PARAIBANO,36,1
2020-06-01,False,Alagoinha,2500502,AGRESTE PARAIBANO,GUARABIRA,103,0
2020-06-01,False,Alcantil,2500536,BORBOREMA,CARIRI ORIENTAL,4,0
2020-06-01,False,Algodão de Jandaíra,2500577,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0,0
2020-06-01,False,Alhandra,2500601,MATA PARAIBANA,LITORAL SUL,138,4
2020-06-01,False,Amparo,2500734,BORBOREMA,CARIRI OCIDENTAL,12,0
2020-06-01,False,Aparecida,2500775,SERTAO PARAIBANO,SOUSA,8,0
2020-06-01,False,Araçagi,2500809,AGRESTE PARAIBANO,GUARABIRA,27,0
2020-06-01,False,Arara,2500908,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,13,0
2020-06-01,False,Araruna,2501005,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,2,0
2020-06-01,False,Areia,2501104,AGRESTE PARAIBANO,BREJO PARAIBANO,56,1
2020-06-01,False,Areia de Baraúnas,2501153,SERTAO PARAIBANO,PATOS,1,0
2020-06-01,False,Areial,2501203,AGRESTE PARAIBANO,ESPERANCA,9,0
2020-06-01,False,Aroeiras,2501302,AGRESTE PARAIBANO,UMBUZEIRO,23,0
2020-06-01,False,Assunção,2501351,BORBOREMA,CARIRI OCIDENTAL,6,0
2020-06-01,False,Baía da Traição,2501401,MATA PARAIBANA,LITORAL NORTE,44,1
2020-06-01,False,Bananeiras,2501500,AGRESTE PARAIBANO,BREJO PARAIBANO,26,0
2020-06-01,False,Baraúna,2501534,BORBOREMA,SERIDO ORIENTAL PARAIBANO,11,0
2020-06-01,False,Barra de Santana,2501575,BORBOREMA,CARIRI ORIENTAL,16,0
2020-06-01,False,Barra de Santa Rosa,2501609,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,5,0
2020-06-01,False,Barra de São Miguel,2501708,BORBOREMA,CARIRI ORIENTAL,3,1
2020-06-01,False,Bayeux,2501807,MATA PARAIBANA,JOAO PESSOA,319,21
2020-06-01,False,Belém,2501906,AGRESTE PARAIBANO,GUARABIRA,36,0
2020-06-01,False,Belém do Brejo do Cruz,2502003,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-01,False,Bernardino Batista,2502052,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-01,False,Boa Ventura,2502102,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-01,False,Boa Vista,2502151,AGRESTE PARAIBANO,CAMPINA GRANDE,29,0
2020-06-01,False,Bom Jesus,2502201,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-01,False,Bom Sucesso,2502300,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-01,False,Bonito de Santa Fé,2502409,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-01,False,Boqueirão,2502508,BORBOREMA,CARIRI ORIENTAL,20,1
2020-06-01,False,Borborema,2502706,AGRESTE PARAIBANO,BREJO PARAIBANO,1,0
2020-06-01,False,Brejo do Cruz,2502805,SERTAO PARAIBANO,CATOLE DO ROCHA,4,1
2020-06-01,False,Brejo dos Santos,2502904,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-01,False,Caaporã,2503001,MATA PARAIBANA,LITORAL SUL,371,4
2020-06-01,False,Cabaceiras,2503100,BORBOREMA,CARIRI ORIENTAL,1,0
2020-06-01,False,Cabedelo,2503209,MATA PARAIBANA,JOAO PESSOA,796,8
2020-06-01,False,Cachoeira dos Índios,2503308,SERTAO PARAIBANO,CAJAZEIRAS,6,1
2020-06-01,False,Cacimba de Areia,2503407,SERTAO PARAIBANO,PATOS,1,0
2020-06-01,False,Cacimba de Dentro,2503506,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,26,0
2020-06-01,False,Cacimbas,2503555,SERTAO PARAIBANO,SERRA DO TEIXEIRA,2,0
2020-06-01,False,Caiçara,2503605,AGRESTE PARAIBANO,GUARABIRA,23,1
2020-06-01,False,Cajazeiras,2503704,SERTAO PARAIBANO,CAJAZEIRAS,96,5
2020-06-01,False,Cajazeirinhas,2503753,SERTAO PARAIBANO,SOUSA,1,0
2020-06-01,False,Caldas Brandão,2503803,AGRESTE PARAIBANO,ITABAIANA,15,0
2020-06-01,False,Camalaú,2503902,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-01,False,Campina Grande,2504009,AGRESTE PARAIBANO,CAMPINA GRANDE,1578,24
2020-06-01,False,Capim,2504033,MATA PARAIBANA,LITORAL NORTE,39,1
2020-06-01,False,Caraúbas,2504074,BORBOREMA,CARIRI ORIENTAL,0,0
2020-06-01,False,Carrapateira,2504108,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-01,False,Casserengue,2504157,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,8,0
2020-06-01,False,Catingueira,2504207,SERTAO PARAIBANO,PIANCO,5,0
2020-06-01,False,Catolé do Rocha,2504306,SERTAO PARAIBANO,CATOLE DO ROCHA,45,2
2020-06-01,False,Caturité,2504355,BORBOREMA,CARIRI ORIENTAL,14,0
2020-06-01,False,Conceição,2504405,SERTAO PARAIBANO,ITAPORANGA,5,0
2020-06-01,False,Condado,2504504,SERTAO PARAIBANO,SOUSA,39,0
2020-06-01,False,Conde,2504603,MATA PARAIBANA,JOAO PESSOA,97,2
2020-06-01,False,Congo,2504702,BORBOREMA,CARIRI OCIDENTAL,11,1
2020-06-01,False,Coremas,2504801,SERTAO PARAIBANO,PIANCO,17,0
2020-06-01,False,Coxixola,2504850,BORBOREMA,CARIRI OCIDENTAL,4,0
2020-06-01,False,Cruz do Espírito Santo,2504900,MATA PARAIBANA,SAPE,110,8
2020-06-01,False,Cubati,2505006,BORBOREMA,SERIDO ORIENTAL PARAIBANO,1,0
2020-06-01,False,Cuité,2505105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,0
2020-06-01,False,Cuité de Mamanguape,2505238,MATA PARAIBANA,LITORAL NORTE,5,0
2020-06-01,False,Cuitegi,2505204,AGRESTE PARAIBANO,GUARABIRA,46,1
