data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-07-19,True,Lucena,2508604,MATA PARAIBANA,JOAO PESSOA,245,2
2020-07-19,True,Mãe d'Água,2508703,SERTAO PARAIBANO,PATOS,16,0
2020-07-19,True,Malta,2508802,SERTAO PARAIBANO,SOUSA,32,1
2020-07-19,True,Mamanguape,2508901,MATA PARAIBANA,LITORAL NORTE,1743,25
2020-07-19,True,Manaíra,2509008,SERTAO PARAIBANO,SERRA DO TEIXEIRA,9,0
2020-07-19,True,Marcação,2509057,MATA PARAIBANA,LITORAL NORTE,134,0
2020-07-19,True,Mari,2509107,MATA PARAIBANA,SAPE,750,14
2020-07-19,True,Marizópolis,2509156,SERTAO PARAIBANO,SOUSA,11,1
2020-07-19,True,Massaranduba,2509206,AGRESTE PARAIBANO,CAMPINA GRANDE,248,3
2020-07-19,True,Mataraca,2509305,MATA PARAIBANA,LITORAL NORTE,126,4
2020-07-19,True,Matinhas,2509339,AGRESTE PARAIBANO,BREJO PARAIBANO,60,1
2020-07-19,True,Mato Grosso,2509370,SERTAO PARAIBANO,CATOLE DO ROCHA,9,1
2020-07-19,True,Maturéia,2509396,SERTAO PARAIBANO,SERRA DO TEIXEIRA,25,1
2020-07-19,True,Mogeiro,2509404,AGRESTE PARAIBANO,ITABAIANA,112,2
2020-07-19,True,Montadas,2509503,AGRESTE PARAIBANO,ESPERANCA,35,1
2020-07-19,True,Monte Horebe,2509602,SERTAO PARAIBANO,CAJAZEIRAS,3,0
2020-07-19,True,Monteiro,2509701,BORBOREMA,CARIRI OCIDENTAL,187,1
2020-07-19,True,Mulungu,2509800,AGRESTE PARAIBANO,GUARABIRA,252,4
2020-07-19,True,Natuba,2509909,AGRESTE PARAIBANO,UMBUZEIRO,47,2
2020-07-19,True,Nazarezinho,2510006,SERTAO PARAIBANO,SOUSA,12,1
2020-07-19,True,Nova Floresta,2510105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,38,0
2020-07-19,True,Nova Olinda,2510204,SERTAO PARAIBANO,PIANCO,9,0
2020-07-19,True,Nova Palmeira,2510303,BORBOREMA,SERIDO ORIENTAL PARAIBANO,40,0
2020-07-19,True,Olho d'Água,2510402,SERTAO PARAIBANO,PIANCO,36,0
2020-07-19,True,Olivedos,2510501,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,51,1
2020-07-19,True,Ouro Velho,2510600,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-07-19,True,Parari,2510659,BORBOREMA,CARIRI OCIDENTAL,5,0
2020-07-19,True,Passagem,2510709,SERTAO PARAIBANO,PATOS,30,0
2020-07-19,True,Patos,2510808,SERTAO PARAIBANO,PATOS,2140,63
