data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-04,True,Mamanguape,2508901,MATA PARAIBANA,LITORAL NORTE,208,3
2020-06-04,True,Manaíra,2509008,SERTAO PARAIBANO,SERRA DO TEIXEIRA,2,0
2020-06-04,True,Marcação,2509057,MATA PARAIBANA,LITORAL NORTE,8,0
2020-06-04,True,Mari,2509107,MATA PARAIBANA,SAPE,137,4
2020-06-04,True,Marizópolis,2509156,SERTAO PARAIBANO,SOUSA,4,1
2020-06-04,True,Massaranduba,2509206,AGRESTE PARAIBANO,CAMPINA GRANDE,32,0
2020-06-04,True,Mataraca,2509305,MATA PARAIBANA,LITORAL NORTE,30,1
2020-06-04,True,Matinhas,2509339,AGRESTE PARAIBANO,BREJO PARAIBANO,18,0
2020-06-04,True,Mato Grosso,2509370,SERTAO PARAIBANO,CATOLE DO ROCHA,7,1
2020-06-04,True,Maturéia,2509396,SERTAO PARAIBANO,SERRA DO TEIXEIRA,11,0
2020-06-04,True,Mogeiro,2509404,AGRESTE PARAIBANO,ITABAIANA,9,1
2020-06-04,True,Montadas,2509503,AGRESTE PARAIBANO,ESPERANCA,12,0
2020-06-04,True,Monte Horebe,2509602,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-04,True,Monteiro,2509701,BORBOREMA,CARIRI OCIDENTAL,32,0
2020-06-04,True,Mulungu,2509800,AGRESTE PARAIBANO,GUARABIRA,37,0
2020-06-04,True,Natuba,2509909,AGRESTE PARAIBANO,UMBUZEIRO,9,0
2020-06-04,True,Nazarezinho,2510006,SERTAO PARAIBANO,SOUSA,1,0
2020-06-04,True,Nova Floresta,2510105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,4,0
2020-06-04,True,Nova Olinda,2510204,SERTAO PARAIBANO,PIANCO,2,0
2020-06-04,True,Nova Palmeira,2510303,BORBOREMA,SERIDO ORIENTAL PARAIBANO,3,0
2020-06-04,True,Olho d'Água,2510402,SERTAO PARAIBANO,PIANCO,17,0
2020-06-04,True,Olivedos,2510501,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,5,0
